AAo   0.64
KKo   0.58
QQo   0.55
JJo   0.50
TTo   0.44
AKs   0.44
KQs   0.43
ATs   0.41
AQs   0.41
AJs   0.41
A7s   0.41
AQo   0.40
AKo   0.40
A8s   0.40
99o   0.40
ATo   0.39
AJo   0.39
A3s   0.39
KJs   0.38
A9s   0.38
A5s   0.38
A2s   0.38
88o   0.38
KTs   0.37
A6s   0.37
A4s   0.37
KQo   0.36
K7s   0.36
A9o   0.36
A8o   0.36
A7o   0.36
A5o   0.36
A3o   0.36
KTo   0.35
K9s   0.35
K3s   0.35
A6o   0.35
A4o   0.35
77o   0.35
QJs   0.34
Q9s   0.34
KJo   0.34
K8s   0.34
A2o   0.34
QJo   0.33
K6s   0.33
K5s   0.33
K4s   0.33
JTs   0.33
55o   0.33
QTs   0.32
K9o   0.32
66o   0.32
QTo   0.31
K8o   0.31
K2s   0.31
87s   0.31
44o   0.31
T9s   0.30
T8s   0.30
Q9o   0.30
Q8s   0.30
Q7s   0.30
Q5s   0.30
Q3s   0.30
K6o   0.30
K4o   0.30
J8s   0.30
Q8o   0.29
Q6s   0.29
Q4s   0.29
K7o   0.29
K3o   0.29
K2o   0.29
JTo   0.29
J9s   0.29
J6s   0.29
33o   0.29
22o   0.29
T9o   0.28
K5o   0.28
J9o   0.28
J7s   0.28
J4s   0.28
J3s   0.28
T7s   0.27
Q6o   0.27
Q2s   0.27
J8o   0.27
98s   0.27
T8o   0.26
T3s   0.26
Q7o   0.26
Q5o   0.26
Q4o   0.26
J7o   0.26
J5s   0.26
J2s   0.26
98o   0.26
86s   0.26
85s   0.26
76s   0.26
65s   0.26
53s   0.26
T6s   0.25
T2s   0.25
Q3o   0.25
Q2o   0.25
97s   0.25
84s   0.25
75s   0.25
74s   0.25
T7o   0.24
T6o   0.24
T5o   0.24
T4s   0.24
J6o   0.24
J5o   0.24
J4o   0.24
97o   0.24
96s   0.24
95s   0.24
87o   0.24
83s   0.24
64s   0.24
43s   0.24
T5s   0.23
T3o   0.23
J3o   0.23
J2o   0.23
96o   0.23
94s   0.23
93s   0.23
92s   0.23
86o   0.23
82s   0.23
54s   0.23
T4o   0.22
T2o   0.22
76o   0.22
73s   0.22
54o   0.22
42s   0.22
32s   0.22
95o   0.21
85o   0.21
84o   0.21
75o   0.21
72s   0.21
65o   0.21
63s   0.21
62s   0.21
52s   0.21
94o   0.20
92o   0.20
74o   0.20
73o   0.20
64o   0.20
63o   0.20
53o   0.20
93o   0.19
83o   0.19
82o   0.19
62o   0.19
43o   0.19
72o   0.18
52o   0.18
42o   0.18
32o   0.18
