AAo   0.43
KKo   0.39
QQo   0.33
AQs   0.30
ATs   0.28
AKs   0.28
KQs   0.27
JJo   0.27
AJs   0.27
A9s   0.27
TTo   0.26
AQo   0.26
AKo   0.26
A8s   0.26
A7s   0.25 
A5s   0.25
A3s   0.25
KTs   0.24
ATo   0.24
AJo   0.24 
A4s   0.24
A2s   0.24
KJs   0.23
A6s   0.23
99o   0.23 
88o   0.23
QTs   0.22
QJs   0.22
KQo   0.22
K9s   0.22 
A9o   0.22
A7o   0.22
A4o   0.22
A2o   0.22
T9s   0.21
K8s   0.21
JTs   0.21
J9s   0.21
A8o   0.21
A6o   0.21
A5o   0.21
A3o   0.21
77o   0.21
T8s   0.20
Q9s   0.20
Q8s   0.20
KTo   0.20
KJo   0.20
K7s   0.20
K6s   0.20
K5s   0.20
T7s   0.19
QJo   0.19
Q6s   0.19
Q5s   0.19
K9o   0.19
K4s   0.19
K3s   0.19
K2s   0.19
J7s   0.19
98s   0.19
66o   0.19
55o   0.19
22o   0.19
T6s   0.18
QTo   0.18
Q7s   0.18
Q4s   0.18
JTo   0.18
J8s   0.18
97s   0.18
87s   0.18
44o   0.18
T4s   0.17
Q9o   0.17
Q3s   0.17
K8o   0.17
K7o   0.17
K6o   0.17
J9o   0.17
J5s   0.17
J4s   0.17
J3s   0.17
95s   0.17
64s   0.17
54s   0.17
33o   0.17
T9o   0.16
T3s   0.16
Q2s   0.16
K5o   0.16
K4o   0.16
J6s   0.16
J2s   0.16
96s   0.16
93s   0.16
86s   0.16
85s   0.16
76s   0.16
75s   0.16
74s   0.16
73s   0.16
65s   0.16
63s   0.16
T8o   0.15
T5s   0.15
T2s   0.15
Q8o   0.15
K3o   0.15
K2o   0.15
J8o   0.15
J7o   0.15
98o   0.15
97o   0.15
94s   0.15
84s   0.15
83s   0.15
82s   0.15
53s   0.15
43s   0.15
42s   0.15
T7o   0.14
T6o   0.14
Q7o   0.14
Q6o   0.14
Q5o   0.14
Q4o   0.14
96o   0.14
92s   0.14
87o   0.14
86o   0.14
72s   0.14
62s   0.14
32s   0.14
T5o   0.13
T4o   0.13
Q3o   0.13
Q2o   0.13
J6o   0.13
J5o   0.13
J4o   0.13
J3o   0.13
85o   0.13
76o   0.13
75o   0.13
65o   0.13
54o   0.13
52s   0.13
T3o   0.12
J2o   0.12
95o   0.12
94o   0.12
93o   0.12
92o   0.12
84o   0.12
74o   0.12
64o   0.12
43o   0.12
T2o   0.11
83o   0.11
73o   0.11
72o   0.11
63o   0.11
62o   0.11
53o   0.11
52o   0.11
42o   0.11
32o   0.11
82o   0.10
