AAo   0.72
KKo   0.68
QQo   0.63
JJo   0.60
TTo   0.56
ATs   0.52
AQs   0.52
AKs   0.52
99o   0.51
88o   0.51
AQo   0.50
AKo   0.50
AJs   0.50
AJo   0.49
A9s   0.49
A8s   0.49
KJs   0.48
A6s   0.48
KQs   0.47
KQo   0.47
ATo   0.47
A8o   0.47
A5s   0.47
A9o   0.46
A7s   0.46
A5o   0.46
A4s   0.46
A3s   0.46
A2s   0.46
77o   0.46
KTs   0.45
KTo   0.45
K8s   0.45
K7s   0.45
A6o   0.45
A4o   0.45
A3o   0.45
QTs   0.44
Q8s   0.44
KJo   0.44
K3s   0.44
K2s   0.44
A7o   0.44
A2o   0.44
66o   0.44
55o   0.44
QJs   0.43
QJo   0.43
K9s   0.43
K9o   0.43
Q9s   0.42
K5s   0.42
22o   0.42
QTo   0.41
Q7s   0.41
Q6s   0.41
JTs   0.41
44o   0.41
T7s   0.40
K8o   0.40
K6s   0.40
K4s   0.40
JTo   0.40
J8s   0.40
T6s   0.39
Q5s   0.39
Q2s   0.39
K7o   0.39
K5o   0.39
K4o   0.39
K2o   0.39
J9s   0.39
T8s   0.38
Q9o   0.38
Q4s   0.38
Q3s   0.38
K6o   0.38
K3o   0.38
98s   0.38
96s   0.38
33o   0.38
T9s   0.37
Q8o   0.37
J9o   0.37
87s   0.37
Q7o   0.36
Q5o   0.36
J8o   0.36
J6s   0.36
J5s   0.36
J3s   0.36
97s   0.36
T9o   0.35
T7o   0.35
T4s   0.35
T3s   0.35
Q6o   0.35
Q2o   0.35
J7s   0.35
J4s   0.35
J2s   0.35
98o   0.35
T8o   0.34
Q4o   0.34
J7o   0.34
J5o   0.34
86s   0.34
85s   0.34
75s   0.34
64s   0.34
T6o   0.33
T2s   0.33
Q3o   0.33
J6o   0.33
J3o   0.33
93s   0.33
84s   0.33
76s   0.33
72s   0.33
54s   0.33
T5s   0.32
T5o   0.32
J4o   0.32
J2o   0.32
97o   0.32
95s   0.32
94s   0.32
87o   0.32
74s   0.32
73s   0.32
65s   0.32
T4o   0.31
T2o   0.31
96o   0.31
86o   0.31
83s   0.31
52s   0.31
43s   0.31
T3o   0.30
95o   0.30
92s   0.30
85o   0.30
84o   0.30
82s   0.30
76o   0.30
63s   0.30
42s   0.30
93o   0.29
65o   0.29
53s   0.29
94o   0.28
92o   0.28
83o   0.28
82o   0.28
75o   0.28
64o   0.28
63o   0.28
74o   0.27
72o   0.27
62o   0.27
43o   0.27
32s   0.27
73o   0.26
62s   0.26
54o   0.26
53o   0.26
52o   0.26
42o   0.24
32o   0.24
