aao   1.9
kko   1.3
aks   1.1
qqo   1.0
kjs   0.9
jjo   0.9
ats   0.9
aqs   0.9
a5s   0.9
a4s   0.9
j9s   0.7
ajs   0.7
a9s   0.7
a8s   0.7
qts   0.6
ako   0.6
99o   0.6
tto   0.5
kts   0.5
aqo   0.5
a3s   0.5
86s   0.5
qjs   0.4
kqs   0.4
k9s   0.4
jts   0.4
ato   0.4
ajo   0.4
a7s   0.4
a6s   0.4
a2s   0.4
88o   0.4
33o   0.4
22o   0.4
t9s   0.3
t8s   0.3
t7s   0.3
q9s   0.3
q7s   0.3
q4s   0.3
kqo   0.3
k7s   0.3
k6s   0.3
k5s   0.3
k4s   0.3
k2s   0.3
jto   0.3
j7s   0.3
j5s   0.3
96s   0.3
87s   0.3
77o   0.3
66o   0.3
55o   0.3
44o   0.3
t4s   0.2
q8s   0.2
q6s   0.2
kjo   0.2
k8s   0.2
k3s   0.2
j2s   0.2
a8o   0.2
a7o   0.2
a5o   0.2
a3o   0.2
a2o   0.2
95s   0.2
76s   0.2
75s   0.2
52s   0.2
t6s   0.1
t2s   0.1
qjo   0.1
q5s   0.1
q3s   0.1
kto   0.1
j8s   0.1
j6s   0.1
j3s   0.1
a9o   0.1
a6o   0.1
97s   0.1
85s   0.1
42s   0.1
t9o   -0.0
t3s   -0.0
qto   -0.0
j9o   0.0
a4o   -0.0
98o   -0.0
94s   -0.0
82s   0.0
74s   0.0
65s   0.0
64s   0.0
54s   0.0
53s   -0.0
43s   -0.0
q9o   -0.1
q8o   -0.1
q2s   -0.1
k9o   -0.1
k8o   -0.1
k6o   -0.1
k3o   -0.1
j4s   -0.1
98s   -0.1
93s   -0.1
92s   -0.1
83s   -0.1
73s   -0.1
63s   -0.1
62s   -0.1
54o   -0.1
43o   -0.1
32s   -0.1
t8o   -0.2
t7o   -0.2
t5s   -0.2
t5o   -0.2
q7o   -0.2
q5o   -0.2
q2o   -0.2
k7o   -0.2
k5o   -0.2
k4o   -0.2
j8o   -0.2
j7o   -0.2
j4o   -0.2
97o   -0.2
87o   -0.2
86o   -0.2
65o   -0.2
t6o   -0.3
q6o   -0.3
q3o   -0.3
k2o   -0.3
j6o   -0.3
j5o   -0.3
96o   -0.3
85o   -0.3
84s   -0.3
76o   -0.3
75o   -0.3
73o   -0.3
72s   -0.3
64o   -0.3
53o   -0.3
52o   -0.3
t4o   -0.4
t2o   -0.4
q4o   -0.4
j3o   -0.4
95o   -0.4
94o   -0.4
93o   -0.4
84o   -0.4
83o   -0.4
82o   -0.4
74o   -0.4
72o   -0.4
63o   -0.4
42o   -0.4
32o   -0.4
t3o   -0.5
j2o   -0.5
92o   -0.5
62o   -0.5
