AAo   0.51
KKo   0.43
QQo   0.39
JJo   0.34
AKs   0.34
AJs   0.34
AQs   0.32
TTo   0.30
ATs   0.30
AKo   0.30
A4s   0.30
AQo   0.29
A9s   0.29
A8s   0.29
A3s   0.29
KTs   0.28
A7s   0.28
A6s   0.28
99o   0.28
QTs   0.27
KQs   0.27
KJs   0.27
ATo   0.27
AJo   0.27
A5s   0.27
A2s   0.27
QJs   0.26
A8o   0.26
A7o   0.26
KQo   0.25
K9s   0.25
JTs   0.25
A9o   0.25
A5o   0.25
A4o   0.25
88o   0.25
KTo   0.24
KJo   0.24
K6s   0.24
K5s   0.24
K4s   0.24
A6o   0.24
A3o   0.24
A2o   0.24
77o   0.24
Q9s   0.23
K8s   0.23
K3s   0.23
K2s   0.23
66o   0.23
Q8s   0.22
Q7s   0.22
K9o   0.22
K7s   0.22
J8s   0.22
55o   0.22
T9s   0.21
T7s   0.21
QTo   0.21
QJo   0.21
Q6s   0.21
Q3s   0.21
JTo   0.21
J9s   0.21
87s   0.21
44o   0.21
22o   0.21
T8s   0.20
Q4s   0.20
K8o   0.20
K7o   0.20
K5o   0.20
J9o   0.20
J7s   0.20
98s   0.20
97s   0.20
96s   0.20
84s   0.20
76s   0.20
33o   0.20
T6s   0.19
T4s   0.19
T3s   0.19
Q9o   0.19
Q5s   0.19
Q2s   0.19
K6o   0.19
K3o   0.19
J6s   0.19
J5s   0.19
J3s   0.19
85s   0.19
75s   0.19
T9o   0.18
T5s   0.18
Q8o   0.18
Q6o   0.18
K4o   0.18
K2o   0.18
J8o   0.18
86s   0.18
65s   0.18
64s   0.18
63s   0.18
43s   0.18
T8o   0.17
T2s   0.17
Q7o   0.17
Q2o   0.17
J7o   0.17
J4s   0.17
J2s   0.17
98o   0.17
95s   0.17
94s   0.17
87o   0.17
82s   0.17
74s   0.17
73s   0.17
54s   0.17
53s   0.17
T7o   0.16
T6o   0.16
Q5o   0.16
Q4o   0.16
J5o   0.16
97o   0.16
93s   0.16
92s   0.16
83s   0.16
72s   0.16
62s   0.16
52s   0.16
42s   0.16
32s   0.16
T4o   0.15
T2o   0.15
Q3o   0.15
J6o   0.15
J4o   0.15
J3o   0.15
J2o   0.15
96o   0.15
86o   0.15
85o   0.15
76o   0.15
65o   0.15
64o   0.15
T5o   0.14
T3o   0.14
95o   0.14
75o   0.14
74o   0.14
54o   0.14
94o   0.13
93o   0.13
84o   0.13
73o   0.13
63o   0.13
62o   0.13
53o   0.13
52o   0.13
42o   0.13
92o   0.12
83o   0.12
82o   0.12
72o   0.12
43o   0.12
32o   0.11
